start;end;corpus;sent_id;left;node;right;node_sentences;pref;suff;morphind;root;root_pos;affix;schema;clause_type;subordinate_clause_type;frame;syntactic_transitivity;dobj_syntax;dobj_role;dobj_animacy;dobj_concreteness;recipient_animacy;recipient_pronominality;recipient_syntax;agent_encoded;theme_encoded;recipient_encoded;notes;agent_pronominality;agent_animacy
199;207;ind_web_2012_1M;954900;4. Tarmizi on 2 Agustus 2009 Kami dari toko buku Azhar dari Malaysia ingin tahu adakah buku Kiamat 2012 sudah tersedia dan bulan Agustus tanggal berapa akan di launching buku tersebut dan kami ingin;membeli;in bulk.;4. Tarmizi on 2 Agustus 2009 Kami dari toko buku Azhar dari Malaysia ingin tahu adakah buku Kiamat 2012 sudah tersedia dan bulan Agustus tanggal berapa akan di launching buku tersebut dan kami ingin<m>membeli</m>in bulk.;me-;NA;meN+beli<v>_VSA;beli;v;me-;intransitive;main;;;intransitive;NA;NA;;;;;NA;TRUE;FALSE;;;personal-pronoun;animate
47;55;ind_newscrawl_2011_1M;775114;Jojo juga berhasil mengetahui kalau Rafi sudah;membeli;informasi dari LINA hingga Rafi bisa tau soal luka dipinggul Bella.;Jojo juga berhasil mengetahui kalau Rafi sudah<m>membeli</m>informasi dari LINA hingga Rafi bisa tau soal luka dipinggul Bella.;me-;NA;meN+beli<v>_VSA;beli;v;me-;theme_obj_cxn;subordinate;complement_clause;;monotransitive;np;theme;inanimate;abstract;;;NA;TRUE;;;source/seller_encoded;proper-name;animate
38;46;ind_web_2012_1M;680308;Promosi penjualan hanya mengacu untuk;membeli;insentif yang perusahaan berikan kepada pelanggan.;Promosi penjualan hanya mengacu untuk<m>membeli</m>insentif yang perusahaan berikan kepada pelanggan.;me-;NA;meN+beli<v>_VSA;beli;v;me-;theme_obj_cxn;subordinate;adverbial;;monotransitive;np;theme;inanimate;concrete;;;NA;FALSE;;;;;
62;70;ind-id_web_2013_1M;84040;Bagi Anda yang memiliki hobi mengoleksi jam tangan atau ingin;membeli;jam tangan dan mungkin Anda akan mengalami kebingungan dalam memilih jam tangan yang cocok untuk Anda.;Bagi Anda yang memiliki hobi mengoleksi jam tangan atau ingin<m>membeli</m>jam tangan dan mungkin Anda akan mengalami kebingungan dalam memilih jam tangan yang cocok untuk Anda.;me-;NA;meN+beli<v>_VSA;beli;v;me-;theme_obj_cxn;subordinate;complement_clause;;monotransitive;np;theme;inanimate;concrete;;;NA;TRUE;;;;personal-pronoun;animate
25;33;ind-id_web_2013_1M;373610;! jika anda memesan atau;membeli;jangan lupa untuk mencantumkan NGG dikarenakan NGG merupakan kode pemesanan yang wajib di cantumkan pada setiap pemesanan dan apabila tidak mencantumkan maka kami anggap tidak ada pemesanan.;! jika anda memesan atau<m>membeli</m>jangan lupa untuk mencantumkan NGG dikarenakan NGG merupakan kode pemesanan yang wajib di cantumkan pada setiap pemesanan dan apabila tidak mencantumkan maka kami anggap tidak ada pemesanan.;me-;NA;meN+beli<v>_VSA;beli;v;me-;intransitive;subordinate;adverbial;;intransitive;NA;NA;;;;;NA;TRUE;FALSE;;;personal-pronoun;animate
50;58;ind_newscrawl_2012_1M;685506;Selain dengan modus itu, kalau ada orang yang mau;membeli;juga dilayani.;Selain dengan modus itu, kalau ada orang yang mau<m>membeli</m>juga dilayani.;me-;NA;meN+beli<v>_VSA;beli;v;me-;intransitive;subordinate;complement_clause;;intransitive;NA;NA;;;;;NA;TRUE;FALSE;;;np;animate
149;157;ind_news_2008_300K;112366;Ny Suhartinah (45) warga Kecamatan Cibadak, Kabupaten Lebak, mengatakan hingga kini sulit mendapatkan minyak tanah di wilayahya sehingga ia terpaksa;membeli;ke pangkalan di Jalan Pasar Baru Rangkasbitung.;Ny Suhartinah (45) warga Kecamatan Cibadak, Kabupaten Lebak, mengatakan hingga kini sulit mendapatkan minyak tanah di wilayahya sehingga ia terpaksa<m>membeli</m>ke pangkalan di Jalan Pasar Baru Rangkasbitung.;me-;NA;meN+beli<v>_VSA;beli;v;me-;intransitive;subordinate;complement_clause;;intransitive;NA;NA;;;;;NA;TRUE;FALSE;;;personal-pronoun;animate
97;105;ind_web_2012_1M;990895;Memang bertambahnya pundi-pundi wang boleh mendatangkan kepuasan hidup, tapi tetap saja tak bisa;membeli;kebahagiaan diri.;Memang bertambahnya pundi-pundi wang boleh mendatangkan kepuasan hidup, tapi tetap saja tak bisa<m>membeli</m>kebahagiaan diri.;me-;NA;meN+beli<v>_VSA;beli;v;me-;theme_obj_cxn;main;;;monotransitive;np;theme;inanimate;abstract;;;NA;FALSE;;;;;
70;78;ind_news_2010_300K;59009;"""Daripada nongkong kedinginan kami kumpulkan sumbangan, lumayan untuk";membeli;kebutuhan karena tak bekerja.;"""Daripada nongkong kedinginan kami kumpulkan sumbangan, lumayan untuk<m>membeli</m>kebutuhan karena tak bekerja.";me-;NA;meN+beli<v>_VSA;beli;v;me-;theme_obj_cxn;subordinate;adverbial;;monotransitive;np;theme;inanimate;concrete;;;NA;TRUE;;;;personal-pronoun;animate
104;112;ind_news_2011_300K;130490;Dalam sebuah spin-off dari langkah Fed, Goldman Sachs bertambah 2,7 persen setelah mengumumkan pihaknya;membeli;kembali lima miliar dolar AS dari sahamnya yang dijual kepada miliarder Warren Buffet`s Berkshire Hathaway dalam krisis pada 2008.;Dalam sebuah spin-off dari langkah Fed, Goldman Sachs bertambah 2,7 persen setelah mengumumkan pihaknya<m>membeli</m>kembali lima miliar dolar AS dari sahamnya yang dijual kepada miliarder Warren Buffet`s Berkshire Hathaway dalam krisis pada 2008.;me-;NA;meN+beli<v>_VSA;beli;v;me-;theme_obj_cxn;subordinate;complement_clause;;monotransitive;np;theme;inanimate;concrete;;;NA;TRUE;;;;np;animate
14;22;ind_newscrawl_2012_1M;440002;Mereka sempat;membeli;kepemilikan ANTV, yang berstatus sebagai pemegang hak siar jangka panjang kompetisi pro di Indonesia.;Mereka sempat<m>membeli</m>kepemilikan ANTV, yang berstatus sebagai pemegang hak siar jangka panjang kompetisi pro di Indonesia.;me-;NA;meN+beli<v>_VSA;beli;v;me-;theme_obj_cxn;main;;;monotransitive;np;theme;inanimate;abstract;;;NA;TRUE;;;;personal-pronoun;animate
